date,description,amount,type,category
2024-01-02,Salary deposit,3500.00,income,salary
2024-01-05,Grocery store,-125.50,expense,food
2024-01-07,Rent payment,-1200.00,expense,housing
2024-01-08,Electric bill,-85.00,expense,utilities
2024-01-10,Restaurant,-45.00,expense,food
2024-01-12,Netflix,-15.99,expense,subscriptions
2024-01-15,Freelance project,500.00,income,extra
2024-01-18,Gas station,-60.00,expense,transport
2024-01-20,Pharmacy,-35.00,expense,health
2024-01-22,Coffee shop,-12.50,expense,food
2024-01-25,Gym membership,-40.00,expense,subscriptions
2024-01-28,Supermarket,-180.00,expense,food
2024-02-02,Salary deposit,3500.00,income,salary
2024-02-03,Rent payment,-1200.00,expense,housing
2024-02-05,Grocery store,-140.00,expense,food
2024-02-08,Electric bill,-92.00,expense,utilities
2024-02-10,Concert tickets,-120.00,expense,entertainment
2024-02-12,Netflix,-15.99,expense,subscriptions
2024-02-15,Gas station,-55.00,expense,transport
2024-02-18,Restaurant,-65.00,expense,food
2024-02-20,Online shopping,-89.00,expense,shopping
2024-02-22,Gym membership,-40.00,expense,subscriptions
2024-02-25,Supermarket,-165.00,expense,food
2024-03-02,Salary deposit,3500.00,income,salary
2024-03-03,Rent payment,-1200.00,expense,housing
2024-03-05,Grocery store,-132.00,expense,food
2024-03-08,Electric bill,-78.00,expense,utilities
2024-03-10,Gas station,-70.00,expense,transport
2024-03-12,Netflix,-15.99,expense,subscriptions
2024-03-15,Gym membership,-40.00,expense,subscriptions
