total_bill,tip,sex,smoker,day,time,size
16.99,1.01,Female,No,Sun,Dinner,2
10.34,1.66,Male,No,Sun,Dinner,3
21.01,3.50,Male,No,Sun,Dinner,3
23.68,3.31,Male,No,Sun,Dinner,2
24.59,3.61,Female,No,Sun,Dinner,4
25.59,3.31,Male,No,Sun,Dinner,4
32.42,1.44,Male,No,Sun,Dinner,2
35.29,5.07,Female,No,Sun,Dinner,4
15.04,1.96,Male,No,Sun,Dinner,2
17.92,3.08,Female,No,Sun,Dinner,2
13.28,1.64,Male,No,Sun,Dinner,2
15.98,2.03,Male,No,Sun,Dinner,2
34.83,5.17,Female,No,Sun,Dinner,4
13.03,2.00,Male,No,Sun,Dinner,2
18.26,3.25,Male,No,Sun,Dinner,2
24.64,3.48,Female,No,Sun,Dinner,3
33.64,4.67,Female,No,Sun,Dinner,3
28.25,5.00,Female,No,Sun,Dinner,2
12.59,1.61,Male,No,Sun,Dinner,2
27.30,1.81,Male,No,Sun,Dinner,2
17.92,4.08,Female,No,Sun,Dinner,2
18.89,1.60,Female,No,Sun,Dinner,2
24.48,3.61,Female,No,Sun,Dinner,4
29.68,4.20,Male,No,Sun,Dinner,4
32.01,1.97,Male,No,Sun,Dinner,3
17.39,2.50,Male,No,Sun,Dinner,4
29.78,4.02,Female,No,Sun,Dinner,4
43.11,4.00,Female,No,Fri,Dinner,4
13.00,2.00,Male,No,Fri,Lunch,2
16.27,2.67,Female,No,Fri,Lunch,3
10.09,1.50,Male,No,Fri,Lunch,2
20.45,3.00,Male,No,Fri,Lunch,3
13.28,1.64,Male,No,Fri,Lunch,2
22.12,2.88,Female,No,Fri,Lunch,2
24.01,2.00,Male,No,Fri,Lunch,4
15.69,1.85,Male,No,Fri,Lunch,2
14.02,3.50,Male,No,Fri,Lunch,2
14.33,1.50,Male,No,Fri,Lunch,2
21.65,3.50,Female,No,Fri,Lunch,3
11.66,2.31,Female,No,Fri,Lunch,2
20.44,2.50,Female,No,Fri,Lunch,3
22.58,2.00,Male,No,Fri,Lunch,2
22.42,3.48,Female,No,Fri,Lunch,2
20.92,4.08,Female,No,Fri,Lunch,2
15.36,1.64,Male,No,Fri,Lunch,2
20.64,3.31,Female,No,Fri,Lunch,2
17.31,3.50,Female,No,Fri,Lunch,2
19.00,3.00,Female,No,Fri,Lunch,4
21.34,2.56,Male,No,Fri,Lunch,3
27.61,4.00,Male,No,Fri,Dinner,4
30.07,5.25,Male,No,Fri,Dinner,2
34.30,4.30,Male,No,Fri,Dinner,4
17.51,3.50,Female,No,Fri,Dinner,2
13.51,2.00,Male,No,Fri,Dinner,2
18.71,4.00,Male,No,Fri,Dinner,3
12.74,2.01,Female,No,Fri,Dinner,2
13.00,1.50,Female,No,Fri,Dinner,2
16.40,2.11,Male,No,Fri,Dinner,2
20.53,3.65,Female,No,Fri,Dinner,3
16.47,2.00,Male,No,Fri,Dinner,2
26.59,3.41,Male,No,Sat,Dinner,3
38.73,3.00,Male,No,Sat,Dinner,4
24.27,2.03,Male,No,Sat,Dinner,2
12.76,2.23,Female,No,Sat,Dinner,2
30.06,2.00,Male,No,Sat,Dinner,3
25.89,5.16,Male,No,Sat,Dinner,4
48.33,9.00,Male,No,Sat,Dinner,4
13.27,1.90,Male,No,Sat,Dinner,2
28.30,3.00,Male,No,Sat,Dinner,2
22.12,2.88,Female,No,Sat,Dinner,2
17.59,2.64,Male,No,Sat,Dinner,3
27.42,3.39,Male,No,Sat,Dinner,3
16.02,3.25,Male,No,Sat,Lunch,3
16.73,2.47,Female,No,Sat,Lunch,2
40.55,3.00,Male,No,Sat,Lunch,4
29.07,4.00,Female,No,Sat,Lunch,4
13.51,2.00,Male,No,Sat,Lunch,2
23.10,1.61,Female,No,Sat,Lunch,3
17.26,2.93,Female,No,Sat,Lunch,3
10.29,2.60,Female,No,Sat,Lunch,2
20.08,3.61,Female,No,Sat,Lunch,3
16.59,2.00,Female,No,Sat,Lunch,3
17.45,3.50,Female,No,Sat,Lunch,2
13.28,1.64,Female,No,Sat,Lunch,2
10.33,2.00,Male,No,Sat,Lunch,2
34.65,3.68,Male,No,Sat,Lunch,4
13.94,5.68,Female,No,Sun,Lunch,2
10.77,1.47,Male,No,Sun,Lunch,2
37.78,4.00,Male,No,Sun,Lunch,4
29.03,5.92,Male,No,Sun,Lunch,3
21.73,4.00,Female,No,Sun,Lunch,4
13.45,1.50,Male,No,Sun,Lunch,3
29.29,2.60,Male,No,Sun,Lunch,3
22.48,3.35,Female,No,Sun,Lunch,3
22.82,2.18,Male,No,Sun,Lunch,3
18.78,3.00,Female,No,Sun,Lunch,3
32.74,3.48,Male,No,Sun,Lunch,4
21.76,4.29,Female,No,Sun,Lunch,4
14.37,1.50,Male,No,Sun,Lunch,2
22.59,3.00,Male,No,Sun,Lunch,2
32.83,1.17,Male,No,Sun,Lunch,2
17.71,1.57,Male,No,Sun,Lunch,2
