fecha,producto,categoria,ventas,cantidad,region
2024-01-15,Laptop A,Electrónica,899.99,12,Norte
2024-01-15,Monitor B,Electrónica,249.50,25,Norte
2024-01-16,Silla Oficina,Muebles,159.00,8,Sur
2024-01-16,Mesa Escritorio,Muebles,320.00,5,Sur
2024-01-17,Laptop A,Electrónica,899.99,7,Este
2024-01-17,Teclado C,Electrónica,45.99,30,Este
2024-01-18,Silla Oficina,Muebles,159.00,15,Oeste
2024-01-18,Monitor B,Electrónica,249.50,18,Oeste
2024-01-19,Laptop A,Electrónica,899.99,4,Norte
2024-01-19,Mesa Escritorio,Muebles,320.00,3,Norte
2024-01-20,Teclado C,Electrónica,45.99,50,Sur
2024-01-20,Laptop A,Electrónica,899.99,9,Este
2024-01-21,Monitor B,Electrónica,249.50,22,Oeste
2024-01-21,Silla Oficina,Muebles,159.00,11,Norte
2024-01-22,Mesa Escritorio,Muebles,320.00,6,Sur
2024-01-22,Teclado C,Electrónica,45.99,40,Norte
2024-01-23,Laptop A,Electrónica,899.99,14,Oeste
2024-01-23,Monitor B,Electrónica,249.50,19,Este
2024-01-24,Silla Oficina,Muebles,159.00,7,Sur
2024-01-24,Laptop A,Electrónica,899.99,11,Norte
2024-01-25,Mesa Escritorio,Muebles,320.00,4,Oeste
2024-01-25,Teclado C,Electrónica,45.99,35,Este
2024-01-26,Monitor B,Electrónica,249.50,28,Sur
2024-01-26,Silla Oficina,Muebles,159.00,9,Norte
2024-01-27,Laptop A,Electrónica,899.99,6,Oeste
2024-01-27,Mesa Escritorio,Muebles,320.00,2,Sur
2024-01-28,Teclado C,Electrónica,45.99,45,Norte
2024-01-28,Monitor B,Electrónica,249.50,21,Este
2024-01-29,Silla Oficina,Muebles,159.00,13,Oeste
2024-01-30,Laptop A,Electrónica,899.99,10,Sur
