nombre,equipo,posicion,edad,puntaje,goles,intentos,califico
Oliva,Águilas,Delantera,24,11.5,10,1,Sí
Daniela,Leones,Mediocampista,21,8.0,4,3,No
Juan,Tigres,Delantero,28,15.5,12,2,Sí
Germán,Halcones,Defensa,32,,2,3,No
Edward,Delfines,Mediocampista,23,8.0,5,2,No
Alex,Águilas,Delantero,26,19.0,16,3,Sí
Julio,Leones,Defensa,30,13.5,3,1,Sí
Edgar,Tigres,Portero,27,,1,1,No
Angie,Halcones,Mediocampista,20,8.0,6,2,No
Irlesa,Delfines,Delantera,25,18.0,13,1,Sí
Carolina,Leones,Mediocampista,22,14.0,8,2,Sí
Roberto,Tigres,Defensa,29,9.5,3,4,No
Patricia,Águilas,Delantera,24,17.5,15,1,Sí
Miguel,Halcones,Portero,31,12.0,1,3,Sí
Sofía,Delfines,Mediocampista,20,7.5,5,2,No
Fernando,Leones,Delantero,27,,12,3,No
Lucía,Tigres,Defensa,23,16.0,4,2,Sí
Andrés,Águilas,Mediocampista,26,10.5,7,4,No
Valentina,Halcones,Delantera,21,20.0,18,1,Sí
Diego,Delfines,Defensa,33,6.5,,2,No
Camila,Leones,Portera,19,14.5,2,1,Sí
Pablo,Tigres,Delantero,28,11.0,10,3,Sí
Isabella,Águilas,Mediocampista,25,9.0,6,5,No
Tomás,Halcones,Defensa,30,15.0,3,2,Sí
Mariana,Delfines,Delantera,22,18.5,14,1,Sí
