date,product,customer_id,quantity,unit_price,category
2024-01-05,Laptop Pro,C101,2,899.99,Electronics
2024-01-05,Mouse Wireless,C102,5,29.99,Electronics
2024-01-06,Notebook A4,C103,20,2.49,Office
2024-01-07,Laptop Pro,C101,1,899.99,Electronics
2024-01-08,Desk Lamp,C104,3,45.00,Home
2024-01-09,Pens Pack,C102,10,4.99,Office
2024-01-10,Monitor 24,C105,1,249.99,Electronics
2024-01-11,Notebook A4,C106,15,2.49,Office
2024-01-12,Laptop Pro,C107,1,899.99,Electronics
2024-01-13,Mouse Wireless,C101,2,29.99,Electronics
2024-01-14,Desk Lamp,C108,2,45.00,Home
2024-01-15,Monitor 24,C102,2,249.99,Electronics
2024-01-16,Pens Pack,C109,25,4.99,Office
2024-01-17,Laptop Pro,C110,1,899.99,Electronics
2024-01-18,Notebook A4,C104,30,2.49,Office
2024-01-19,Mouse Wireless,C111,8,29.99,Electronics
2024-01-20,Desk Lamp,C103,1,45.00,Home
2024-02-01,Laptop Pro,C101,1,899.99,Electronics
2024-02-02,Monitor 24,C105,2,249.99,Electronics
2024-02-03,Pens Pack,C112,50,4.99,Office
2024-02-04,Notebook A4,C106,40,2.49,Office
2024-02-05,Mouse Wireless,C107,4,29.99,Electronics
2024-02-06,Desk Lamp,C108,5,45.00,Home
2024-02-07,Laptop Pro,C113,2,899.99,Electronics
2024-02-08,Monitor 24,C114,1,249.99,Electronics
2024-02-09,Notebook A4,C101,10,2.49,Office
2024-02-10,Pens Pack,C115,15,4.99,Office
2024-02-15,Laptop Pro,C102,1,899.99,Electronics
2024-02-16,Mouse Wireless,C116,6,29.99,Electronics
2024-02-17,Desk Lamp,C104,2,45.00,Home
2024-03-01,Monitor 24,C117,3,249.99,Electronics
2024-03-02,Laptop Pro,C105,1,899.99,Electronics
2024-03-03,Notebook A4,C118,25,2.49,Office
2024-03-04,Pens Pack,C119,30,4.99,Office
2024-03-05,Mouse Wireless,C103,3,29.99,Electronics
2024-03-06,Desk Lamp,C120,4,45.00,Home
