name,team,position,age,score,goals,attempts,qualified
Oliva,Eagles,Forward,24,11.5,10,1,Yes
Daniela,Lions,Midfielder,21,8.0,4,3,No
Juan,Tigers,Forward,28,15.5,12,2,Yes
Germán,Hawks,Defender,32,,2,3,No
Edward,Dolphins,Midfielder,23,8.0,5,2,No
Alex,Eagles,Forward,26,19.0,16,3,Yes
Julio,Lions,Defender,30,13.5,3,1,Yes
Edgar,Tigers,Goalkeeper,27,,1,1,No
Angie,Hawks,Midfielder,20,8.0,6,2,No
Irlesa,Dolphins,Forward,25,18.0,13,1,Yes
Carolina,Lions,Midfielder,22,14.0,8,2,Yes
Roberto,Tigers,Defender,29,9.5,3,4,No
Patricia,Eagles,Forward,24,17.5,15,1,Yes
Miguel,Hawks,Goalkeeper,31,12.0,1,3,Yes
Sofía,Dolphins,Midfielder,20,7.5,5,2,No
Fernando,Lions,Forward,27,,12,3,No
Lucía,Tigers,Defender,23,16.0,4,2,Yes
Andrés,Eagles,Midfielder,26,10.5,7,4,No
Valentina,Hawks,Forward,21,20.0,18,1,Yes
Diego,Dolphins,Defender,33,6.5,,2,No
Camila,Lions,Goalkeeper,19,14.5,2,1,Yes
Pablo,Tigers,Forward,28,11.0,10,3,Yes
Isabella,Eagles,Midfielder,25,9.0,6,5,No
Tomás,Hawks,Defender,30,15.0,3,2,Yes
Mariana,Dolphins,Forward,22,18.5,14,1,Yes
Ricardo,Eagles,Defender,34,7.0,2,4,No
Natalia,Lions,Forward,23,16.5,11,2,Yes
Samuel,Tigers,Midfielder,27,10.0,5,3,No
Lorena,Hawks,Forward,20,19.5,17,1,Yes
Mateo,Dolphins,Goalkeeper,29,,0,2,No
Catalina,Eagles,Midfielder,22,13.0,7,2,Yes
Héctor,Lions,Defender,31,8.5,2,5,No
Daniela,Tigers,Forward,19,17.0,13,1,Yes
Emilio,Hawks,Midfielder,26,11.0,6,3,No
Rosa,Dolphins,Defender,24,12.5,3,2,Yes
Santiago,Eagles,Forward,21,20.5,19,1,Yes
Adriana,Lions,Midfielder,28,,8,4,No
Marcos,Tigers,Defender,35,5.5,1,3,No
Paola,Hawks,Forward,22,15.5,12,2,Yes
Gabriel,Dolphins,Midfielder,25,9.5,4,3,No
