month,category,total_amount
2025-01,Housing,59509.02
2025-01,Education,11215.452066497764
2025-01,Health,6803.274249699966
2025-01,Food,5807.86
2025-01,Utilities,4177.04
2025-01,Leisure,3524.54
2025-01,Uncategorized,2956.77
2025-01,Transport,1755.31
2025-02,Housing,68369.75913488686
2025-02,Health,6740.757479275798
2025-02,Leisure,5918.001420100625
2025-02,Food,5458.922142208443
2025-02,Utilities,4332.7
2025-02,Uncategorized,2944.0
2025-02,Transport,1673.51
2025-02,Education,1525.31
2025-03,Housing,53561.31467362445
2025-03,Utilities,9280.334168619915
2025-03,Food,4815.69
2025-03,Leisure,3206.56
2025-03,Health,2811.61
2025-03,Education,2403.6000000000004
2025-03,Transport,1940.26
2025-03,Uncategorized,1176.3200000000002
2025-04,Housing,47083.66354442179
2025-04,Utilities,4875.43
2025-04,Health,4653.225440287738
2025-04,Food,4618.57269915894
2025-04,Leisure,3482.35
2025-04,Uncategorized,3058.29
2025-04,Transport,2924.85
2025-04,Education,1780.44
2025-05,Housing,69116.61445789736
2025-05,Food,7507.551833245677
2025-05,Health,4641.9
2025-05,Utilities,4381.01
2025-05,Leisure,3693.9237339761908
2025-05,Education,3084.33
2025-05,Transport,2637.38
2025-05,Uncategorized,1125.08
2025-06,Housing,78984.99835968013
2025-06,Food,5517.212170799894
2025-06,Leisure,4949.589540698548
2025-06,Transport,4785.034639923436
2025-06,Utilities,4091.05
2025-06,Education,3350.8
2025-06,Health,3006.55
2025-06,Uncategorized,2103.41
2025-07,Housing,83547.06190202477
2025-07,Utilities,4018.34
2025-07,Transport,3795.264058943775
2025-07,Education,3099.72
2025-07,Food,2938.5699999999997
2025-07,Leisure,2799.26
2025-07,Health,2625.31
2025-07,Uncategorized,415.76
2025-08,Housing,89444.85738878946
2025-08,Utilities,7475.760711875317
2025-08,Leisure,6244.231378947652
2025-08,Transport,4480.178108650216
2025-08,Food,4423.74
2025-08,Health,3526.77
2025-08,Education,3125.2799999999997
2025-08,Uncategorized,2187.96
2025-09,Housing,52875.653704791504
2025-09,Food,4695.38
2025-09,Utilities,3660.5297391270333
2025-09,Education,3589.57
2025-09,Leisure,3085.96
2025-09,Health,2974.54
2025-09,Transport,2617.4907544199814
2025-09,Uncategorized,2553.44
2025-10,Housing,58586.12
2025-10,Education,5894.820614505471
2025-10,Food,5595.3
2025-10,Health,4564.95
2025-10,Uncategorized,3930.41
2025-10,Utilities,3503.17
2025-10,Leisure,3328.61
2025-10,Transport,2124.8
2025-11,Housing,35937.74
2025-11,Uncategorized,6249.389999999999
2025-11,Utilities,6210.11891700876
2025-11,Health,6060.989239839469
2025-11,Food,5591.51
2025-11,Transport,3516.065159034763
2025-11,Leisure,2332.52
2025-11,Education,2269.44
2025-12,Housing,59769.913552541475
2025-12,Health,10736.602733752874
2025-12,Food,6020.069754802506
2025-12,Utilities,4064.211742623617
2025-12,Education,3261.81
2025-12,Leisure,3044.92
2025-12,Transport,2136.6798620625896
2025-12,Uncategorized,606.03
