fecha,producto,categoria,ventas,cantidad,region
2024-01-15,Laptop A,Electrónica,899.99,12,Norte
2024-01-15,Monitor B,Electrónica,249.5,25,Norte
2024-01-16,Silla Oficina,Muebles,159.0,8,Sur
2024-01-16,Mesa Escritorio,Muebles,320.0,5,Sur
2024-01-17,Laptop A,Electrónica,899.99,7,Este
2024-01-17,Teclado C,Electrónica,45.99,30,Este
2024-01-18,Silla Oficina,Muebles,159.0,15,Oeste
2024-01-18,Monitor B,Electrónica,249.5,18,Oeste
2024-01-19,Laptop A,Electrónica,899.99,4,Norte
2024-01-19,Mesa Escritorio,Muebles,320.0,3,Norte
2024-01-20,Teclado C,Electrónica,45.99,50,Sur
2024-01-20,Laptop A,Electrónica,899.99,9,Este
2024-01-21,Monitor B,Electrónica,249.5,22,Oeste
2024-01-21,Silla Oficina,Muebles,159.0,11,Norte
2024-01-22,Mesa Escritorio,Muebles,320.0,6,Sur
2024-01-22,Teclado C,Electrónica,45.99,40,Norte
2024-01-23,Laptop A,Electrónica,899.99,14,Oeste
2024-01-23,Monitor B,Electrónica,249.5,19,Este
2024-01-24,Silla Oficina,Muebles,159.0,7,Sur
2024-01-24,Laptop A,Electrónica,899.99,11,Norte
2024-01-25,Mesa Escritorio,Muebles,320.0,4,Oeste
2024-01-25,Teclado C,Electrónica,45.99,35,Este
2024-01-26,Monitor B,Electrónica,249.5,28,Sur
2024-01-26,Silla Oficina,Muebles,159.0,9,Norte
2024-01-27,Laptop A,Electrónica,899.99,6,Oeste
2024-01-27,Mesa Escritorio,Muebles,320.0,2,Sur
2024-01-28,Teclado C,Electrónica,45.99,45,Norte
2024-01-28,Monitor B,Electrónica,249.5,21,Este
2024-01-29,Silla Oficina,Muebles,159.0,13,Oeste
2024-01-30,Laptop A,Electrónica,899.99,10,Sur
2024-02-01,Mouse D,Electrónica,29.99,60,Norte
2024-02-01,Impresora E,Electrónica,179.0,12,Sur
2024-02-02,Auriculares F,Electrónica,79.9,34,Este
2024-02-02,Silla Oficina,Muebles,159.0,10,Oeste
2024-02-03,Mesa Escritorio,Muebles,320.0,7,Norte
2024-02-03,Laptop A,Electrónica,899.99,8,Este
2024-02-04,Monitor B,Electrónica,249.5,24,Sur
2024-02-04,Teclado C,Electrónica,45.99,42,Oeste
2024-02-05,Mouse D,Electrónica,29.99,55,Este
2024-02-05,Silla Oficina,Muebles,159.0,9,Norte
2024-02-06,Auriculares F,Electrónica,79.9,29,Sur
2024-02-06,Mesa Escritorio,Muebles,320.0,5,Este
2024-02-07,Impresora E,Electrónica,179.0,11,Oeste
2024-02-07,Laptop A,Electrónica,899.99,9,Norte
2024-02-08,Monitor B,Electrónica,249.5,26,Este
2024-02-08,Teclado C,Electrónica,45.99,48,Sur
2024-02-09,Silla Oficina,Muebles,159.0,12,Oeste
2024-02-09,Mouse D,Electrónica,29.99,62,Norte
2024-02-10,Mesa Escritorio,Muebles,320.0,6,Sur
2024-02-10,Auriculares F,Electrónica,79.9,31,Este
2024-02-11,Impresora E,Electrónica,179.0,10,Norte
2024-02-11,Laptop A,Electrónica,899.99,7,Oeste
2024-02-12,Monitor B,Electrónica,249.5,20,Sur
2024-02-12,Teclado C,Electrónica,45.99,46,Este
2024-02-13,Mouse D,Electrónica,29.99,58,Oeste
2024-02-13,Silla Oficina,Muebles,159.0,11,Sur
2024-02-14,Mesa Escritorio,Muebles,320.0,8,Norte
2024-02-14,Auriculares F,Electrónica,79.9,33,Oeste
2024-02-15,Impresora E,Electrónica,179.0,13,Este
2024-02-15,Laptop A,Electrónica,899.99,12,Sur
