color,object,price,category,stock,weight_g,rating,country_origin
blue,ball,1.2,toy,150,85,4.2,China
green,pen,1.0,stationery,300,12,4.5,Germany
yellow,pencil,0.6,stationery,500,7,4.0,Brazil
red,paper,0.9,stationery,1000,5,3.8,USA
white,mug,1.7,kitchenware,80,320,4.7,Japan
black,notebook,2.5,stationery,200,180,4.6,Germany
orange,scissors,3.2,tools,60,95,4.1,China
purple,eraser,0.4,stationery,400,15,3.9,Mexico
pink,ruler,1.1,stationery,250,45,4.3,USA
gray,stapler,4.8,tools,45,210,4.4,Japan
blue,pen,1.3,stationery,280,13,4.2,Germany
red,ball,1.5,toy,120,90,4.0,China
green,mug,2.0,kitchenware,65,310,4.8,Japan
yellow,notebook,2.2,stationery,180,175,4.5,Brazil
black,scissors,2.9,tools,55,100,4.3,China
white,eraser,0.5,stationery,450,16,3.7,Mexico
orange,ruler,1.0,stationery,230,42,4.1,USA
purple,stapler,5.0,tools,40,215,4.6,Japan
pink,ball,1.4,toy,130,88,4.4,China
gray,pen,1.2,stationery,310,11,4.0,Germany
blue,notebook,2.8,stationery,160,185,4.7,Brazil
red,mug,1.9,kitchenware,70,315,4.5,Japan
yellow,scissors,3.0,tools,50,98,4.2,China
white,stapler,4.5,tools,38,208,4.3,Japan
green,pencil,0.7,stationery,480,8,4.1,Brazil
black,ruler,1.2,stationery,220,44,4.4,USA
orange,eraser,0.45,stationery,420,14,3.8,Mexico
pink,notebook,2.4,stationery,170,178,4.6,Germany
gray,mug,1.8,kitchenware,75,318,4.7,Japan
red,pencil,0.65,stationery,520,7,3.9,Brazil
