date,product_id,product_name,category,movement_type,quantity,unit_cost
2024-01-02,P001,Widget A,Electronics,in,100,5.50
2024-01-02,P002,Widget B,Office,in,200,2.25
2024-01-05,P001,Widget A,Electronics,out,15,5.50
2024-01-05,P003,Cable HDMI,Electronics,in,50,8.00
2024-01-08,P002,Widget B,Office,out,45,2.25
2024-01-08,P004,Notebook Pack,Office,in,150,3.00
2024-01-10,P001,Widget A,Electronics,out,20,5.50
2024-01-10,P003,Cable HDMI,Electronics,out,10,8.00
2024-01-12,P002,Widget B,Office,out,30,2.25
2024-01-15,P001,Widget A,Electronics,in,80,5.50
2024-01-15,P005,Desk Lamp,Home,in,25,35.00
2024-01-18,P004,Notebook Pack,Office,out,60,3.00
2024-01-18,P003,Cable HDMI,Electronics,out,8,8.00
2024-01-20,P002,Widget B,Office,out,25,2.25
2024-01-22,P005,Desk Lamp,Home,out,5,35.00
2024-01-25,P001,Widget A,Electronics,out,35,5.50
2024-01-28,P004,Notebook Pack,Office,out,40,3.00
2024-02-01,P002,Widget B,Office,in,100,2.25
2024-02-02,P003,Cable HDMI,Electronics,in,30,8.00
2024-02-05,P001,Widget A,Electronics,out,22,5.50
2024-02-05,P005,Desk Lamp,Home,out,3,35.00
2024-02-08,P004,Notebook Pack,Office,in,80,3.00
2024-02-10,P002,Widget B,Office,out,50,2.25
2024-02-12,P003,Cable HDMI,Electronics,out,12,8.00
2024-02-15,P001,Widget A,Electronics,out,18,5.50
