Region,Empresa,avg_close,total_volume,records
Asia-Pacifico,Commonwealth Bank,74.96666666666665,15300000,3
Asia-Pacifico,DBS,26.086666666666662,12750000,3
Asia-Pacifico,ANZ,17.30666666666667,23100000,3
Asia-Pacifico,Sumitomo Mitsui FG,11.049999999999999,29100000,3
Asia-Pacifico,Mitsubishi UFJ,9.02,41600000,3
Asia-Pacifico,China Construction Bank,6.323333333333333,64800000,3
Asia-Pacifico,ICBC,5.11,77500000,3
Asia-Pacifico,Bank of China,3.9033333333333338,71600000,3
Asia-Pacifico,Mizuho Financial,3.4133333333333336,45400000,3
Europa,BNP Paribas,64.13333333333333,22300000,3
Europa,UBS,30.666666666666668,25400000,3
Europa,Societe Generale,24.98,20400000,3
Europa,UniCredit,24.433333333333337,26200000,3
Europa,ING,15.016666666666666,27400000,3
Europa,Credit Agricole,13.243333333333334,24100000,3
Europa,Deutsche Bank,12.976666666666667,28000000,3
Europa,Standard Chartered,10.356666666666667,24700000,3
Europa,BBVA,8.91,90000000,3
Europa,Barclays,8.243333333333334,65400000,3
Europa,HSBC,7.986666666666667,36300000,3
Europa,Santander,4.1499999999999995,125000000,3
Europa,Sabadell,0.9700000000000001,42000000,3
Latinoamerica,Banco do Brasil,9.243333333333334,35700000,3
Latinoamerica,Itau Unibanco,6.890000000000001,54000000,3
Norteamerica,JPMorgan Chase,172.5666666666667,33500000,3
Norteamerica,Royal Bank of Canada,98.08333333333333,18100000,3
Norteamerica,TD Bank,62.050000000000004,21000000,3
Norteamerica,Citigroup,52.23333333333333,51800000,3
Norteamerica,Wells Fargo,48.98333333333333,58600000,3
Norteamerica,Scotiabank,47.806666666666665,19500000,3
Norteamerica,Bank of America,34.31666666666666,113600000,3
